date,model,jcd,rno,p,high,y,hit
20260813,m8-v1-am,04,8,0.1636,false,0,
20260813,m8-v1-am,24,2,0.1636,false,0,
20260813,m8-v1-am,07,5,0.1636,false,0,
20260813,m8-v1-am,19,3,0.1636,false,0,
20260813,m8-v1-am,23,2,0.1636,false,0,
20260813,m8-v1-am,07,7,0.1636,false,0,
20260813,m8-v1-am,23,6,0.1636,false,1,
20260813,m8-v1-am,01,11,0.1636,false,,
20260813,m8-v1-am,08,4,0.1636,false,1,
20260813,m8-v1-am,02,3,0.1636,false,1,
20260813,m8-v1-am,22,7,0.1636,false,0,
20260813,m8-v1-am,24,1,0.1636,false,0,
20260813,m8-v1-am,08,10,0.1636,false,1,
20260813,m8-v1-am,02,2,0.1589,false,0,
20260813,m8-v1-am,03,11,0.1589,false,0,
20260813,m8-v1-am,13,9,0.1589,false,0,
20260813,m8-v1-am,19,9,0.1425,false,0,
20260813,m8-v1-am,02,10,0.1425,false,0,
20260813,m8-v1-am,22,9,0.1425,false,0,
20260813,m8-v1-am,13,7,0.1425,false,0,
20260813,m8-v1-am,04,9,0.1425,false,1,
20260813,m8-v1-am,13,2,0.1425,false,0,
20260813,m8-v1-am,03,8,0.1425,false,0,
20260813,m8-v1-am,19,7,0.1425,false,0,
20260813,m8-v1-am,16,8,0.1124,false,0,
20260813,m8-v1-am,04,1,0.1124,false,1,
20260813,m8-v1-am,08,9,0.0963,false,0,
20260813,m8-v1-am,07,8,0.0963,false,0,
20260813,m8-v1-am,02,5,0.0963,false,0,
20260813,m8-v1-am,12,6,0.0963,false,0,
20260813,m8-v1-am,13,10,0.0963,false,0,
20260813,m8-v1-am,02,11,0.0963,false,0,
20260813,m8-v1-am,24,7,0.0963,false,0,
20260813,m8-v1-am,06,7,0.0963,false,0,
20260813,m8-v1-am,01,7,0.0963,false,0,
20260813,m8-v1-am,19,8,0.0963,false,0,
20260813,m8-v1-am,12,10,0.0963,false,0,
20260813,m8-v1-am,01,8,0.0963,false,0,
20260813,m8-v1-am,22,11,0.0963,false,,
20260813,m8-v1-am,13,6,0.0963,false,0,
20260813,m8-v1-am,12,5,0.0963,false,0,
20260813,m8-v1-am,19,10,0.0963,false,0,
20260813,m8-v1-am,22,10,0.0963,false,0,
20260813,m8-v1-am,13,3,0.0963,false,0,
20260813,m8-v1-am,03,6,0.0963,false,0,
20260813,m8-v1-am,03,9,0.0963,false,0,
20260813,m8-v1-am,16,6,0.0963,false,1,
20260813,m8-v1-am,06,8,0.0963,false,1,
20260813,m8-v1-am,12,12,0.0963,false,0,
20260813,m8-v1-am,12,8,0.0963,false,0,
20260813,m8-v1-am,13,4,0.0963,false,0,
20260813,m8-v1-am,19,5,0.0963,false,0,
20260813,m8-v1-am,13,5,0.0963,false,0,
20260813,m8-v1-am,12,7,0.0963,false,0,
20260813,m8-v1-am,21,1,0.0963,false,0,
20260813,m8-v1-am,24,12,0.0963,false,0,
20260813,m8-v1-am,21,11,0.0963,false,0,
20260813,m8-v1-am,04,12,0.0741,false,1,
20260813,m8-v1-am,04,11,0.0741,false,1,
20260813,m8-v1-am,12,11,0.0741,false,0,
20260813,m8-v1-am,13,8,0.0741,false,0,
20260813,m8-v1-am,16,9,0.0603,false,0,
20260813,m8-v1-am,24,9,0.0603,false,0,
20260813,m8-v1-am,21,3,0.0603,false,0,
20260813,m8-v1-am,12,9,0.0603,false,0,
20260813,m8-v1-am,21,10,0.0603,false,0,
20260813,m8-v1-am,21,12,0.0544,false,0,
20260813,m8-v1-am,08,8,0.0544,false,0,
20260813,m8-v1-am,13,11,0.0544,false,0,
20260813,m8-v1-am,24,11,0.0544,false,0,
20260813,m8-v1-am,08,1,0.0544,false,0,
20260813,m8-v1-am,02,12,0.0544,false,0,
20260813,m8-v1-am,07,10,0.0544,false,0,
20260813,m8-v1-am,04,2,0.0544,false,0,
20260813,m8-v1-am,03,12,0.0544,false,0,
20260813,m8-v1-am,06,11,0.0544,false,0,
20260813,m8-v1-am,23,10,0.0544,false,0,
20260813,m8-v1-am,08,12,0.0544,false,0,
20260813,m8-v1-am,03,10,0.0544,false,0,
20260813,m8-v1-am,01,6,0.0544,false,0,
20260813,m8-v1-am,23,11,0.0544,false,0,
20260813,m8-v1-am,03,3,0.0544,false,0,
20260813,m8-v1-am,04,10,0.0544,false,0,
20260813,m8-v1-am,19,11,0.0544,false,0,
20260813,m8-v1-am,02,7,0.0544,false,0,
20260813,m8-v1-am,22,12,0.0544,false,0,
20260813,m8-v1-am,16,10,0.0544,false,0,
20260813,m8-v1-am,08,6,0.0544,false,0,
